,author,body,number,created_at,empty
10,github-actions[bot],"Cluster Test Result
```
Test runner setup time spent 270 secs
Compatibility test results for land_67c4c667 ==> land_661a2d13 (PR)
1. All instances running land_67c4c667, generating some traffic on network
2. First full node land_67c4c667 ==> land_661a2d13, to validate new full node to old validator node traffic
3. First Validator node land_67c4c667 ==> land_661a2d13, to validate storage compatibility
4. First batch validators (14) land_67c4c667 ==> land_661a2d13, to test consensus and traffic between old full nodes and new validator node
5. First batch full nodes (14) land_67c4c667 ==> land_661a2d13
6. Second batch validators (15) land_67c4c667 ==> land_661a2d13, to upgrade rest of the validators
7. Second batch of full nodes (15) land_67c4c667 ==> land_661a2d13, to finish the network upgrade, time spent 654 secs
all up : 2201 TPS, 2044 ms latency, 3500 ms p99 latency, no expired txns, time spent 266 secs
Logs: http://kibana.ct-2-k8s-testnet.aws.hlw3truzy4ls.com/app/kibana#/discover?_g=(time:(from:'2021-12-01T01:56:11Z',to:'2021-12-01T02:18:03Z'))
Dashboard: http://grafana.ct-2-k8s-testnet.aws.hlw3truzy4ls.com/d/performance/performance?from=1638323771000&to=1638325083000
Validator 1 logs: http://kibana.ct-2-k8s-testnet.aws.hlw3truzy4ls.com/app/kibana#/discover?_g=(time:(from:'2021-12-01T01:56:11Z',to:'2021-12-01T02:18:03Z'))&_a=(columns:!(log),query:(language:kuery,query:'kubernetes.pod_name:""val-1""'),sort:!(!('@timestamp',desc)))
```

Repro cmd:

  ```
  ./scripts/cti --tag land_67c4c667 --cluster-test-tag land_661a2d13 -E BATCH_SIZE=15 -E UPDATE_TO_TAG=land_661a2d13 --report report.json --suite land_blocking_compat
  ```
  
 :tada: Land-blocking cluster test passed! :ok_hand:",9851,2021-12-01T02:18:04Z,0
11,github-actions[bot],"Forge Test Result
```
Compatibility test results for land_67c4c667 ==> land_661a2d13 (PR)
1. Downgrade all validators to older version: land_67c4c667
2. Upgrading first Validator to new version: land_661a2d13
3. Upgrading rest of first batch to new version: land_661a2d13
4. upgrading second batch to new version: land_661a2d13
5. check swarm health
Compatibility test for land_67c4c667 ==> land_661a2d13 passed
all up : 1655 TPS, 2696 ms latency, 6550 ms p99 latency,no expired txns
Logs: https://diem-development.kb.us-west1.gcp.cloud.es.io:9243/app/discover#/?_g=(filters:!(),refreshInterval:(pause:!t,value:0),time:(from:now-15m,to:now))&_a=(columns:!(),filters:!(),index:'2da2a6e0-f70a-11eb-ad53-b979a6c9b83a',interval:auto,query:(language:kuery,query:''),sort:!(!('@timestamp',desc)))
Dashboard: http://mon.forge-0.aws.hlw3truzy4ls.com/d/overview/overview?from=1638323811357&to=1638325132959&orgId=1
```

Repro cmd:

  ```
  ./scripts/fgi/run --tag land_661a2d13 --base-image-tag land_67c4c667 --suite land_blocking_compat --report forge_report.json
  ```
  
 :tada: Land-blocking forge test passed! :ok_hand:",9851,2021-12-01T02:18:54Z,0
12,dimroc,/land,9900,2021-12-01T06:07:49Z,0
13,github-actions[bot],"Forge Test Result
```
Compatibility test results for land_661a2d13 ==> land_6c41adff (PR)
1. Downgrade all validators to older version: land_661a2d13
2. Upgrading first Validator to new version: land_6c41adff
3. Upgrading rest of first batch to new version: land_6c41adff
4. upgrading second batch to new version: land_6c41adff
5. check swarm health
Compatibility test for land_661a2d13 ==> land_6c41adff passed
all up : 1712 TPS, 2611 ms latency, 7050 ms p99 latency,no expired txns
Logs: https://diem-development.kb.us-west1.gcp.cloud.es.io:9243/app/discover#/?_g=(filters:!(),refreshInterval:(pause:!t,value:0),time:(from:now-15m,to:now))&_a=(columns:!(),filters:!(),index:'2da2a6e0-f70a-11eb-ad53-b979a6c9b83a',interval:auto,query:(language:kuery,query:''),sort:!(!('@timestamp',desc)))
Dashboard: http://mon.forge-1.aws.hlw3truzy4ls.com/d/overview/overview?from=1638340211979&to=1638341519189&orgId=1
```

Repro cmd:

  ```
  ./scripts/fgi/run --tag land_6c41adff --base-image-tag land_661a2d13 --suite land_blocking_compat --report forge_report.json
  ```
  
 :tada: Land-blocking forge test passed! :ok_hand:",9900,2021-12-01T06:52:00Z,0
14,github-actions[bot],"Cluster Test Result
```
Test runner setup time spent 252 secs
Compatibility test results for land_661a2d13 ==> land_6c41adff (PR)
1. All instances running land_661a2d13, generating some traffic on network
2. First full node land_661a2d13 ==> land_6c41adff, to validate new full node to old validator node traffic
3. First Validator node land_661a2d13 ==> land_6c41adff, to validate storage compatibility
4. First batch validators (14) land_661a2d13 ==> land_6c41adff, to test consensus and traffic between old full nodes and new validator node
5. First batch full nodes (14) land_661a2d13 ==> land_6c41adff
6. Second batch validators (15) land_661a2d13 ==> land_6c41adff, to upgrade rest of the validators
7. Second batch of full nodes (15) land_661a2d13 ==> land_6c41adff, to finish the network upgrade, time spent 705 secs
all up : 2195 TPS, 2049 ms latency, 4000 ms p99 latency, no expired txns, time spent 265 secs
Logs: http://kibana.ct-0-k8s-testnet.aws.hlw3truzy4ls.com/app/kibana#/discover?_g=(time:(from:'2021-12-01T06:29:44Z',to:'2021-12-01T06:52:52Z'))
Dashboard: http://grafana.ct-0-k8s-testnet.aws.hlw3truzy4ls.com/d/performance/performance?from=1638340184000&to=1638341572000
Validator 1 logs: http://kibana.ct-0-k8s-testnet.aws.hlw3truzy4ls.com/app/kibana#/discover?_g=(time:(from:'2021-12-01T06:29:44Z',to:'2021-12-01T06:52:52Z'))&_a=(columns:!(log),query:(language:kuery,query:'kubernetes.pod_name:""val-1""'),sort:!(!('@timestamp',desc)))
```

Repro cmd:

  ```
  ./scripts/cti --tag land_661a2d13 --cluster-test-tag land_6c41adff -E BATCH_SIZE=15 -E UPDATE_TO_TAG=land_6c41adff --report report.json --suite land_blocking_compat
  ```
  
 :tada: Land-blocking cluster test passed! :ok_hand:",9900,2021-12-01T06:52:53Z,0
15,github-actions[bot],"Forge Test Result
```
Forge test runner is terminated
Logs: https://diem-development.kb.us-west1.gcp.cloud.es.io:9243/app/discover#/?_g=(filters:!(),refreshInterval:(pause:!t,value:0),time:(from:now-15m,to:now))&_a=(columns:!(),filters:!(),index:'2da2a6e0-f70a-11eb-ad53-b979a6c9b83a',interval:auto,query:(language:kuery,query:''),sort:!(!('@timestamp',desc)))
Dashboard: http://mon.forge-0.aws.hlw3truzy4ls.com/d/overview/overview?from=1638343025491&to=1638343066399&orgId=1
```

 :exclamation: Forge Test failed - non-zero exit code for `fgi` 

Repro cmd:

  ```
  ./scripts/fgi/run --tag land_d7ad37cc --base-image-tag land_6c41adff --suite land_blocking_compat --report forge_report.json
  ```
  ",9901,2021-12-01T07:17:47Z,0
16,github-actions[bot],"Cluster Test Result
```
Test runner setup time spent 268 secs
Compatibility test results for land_6c41adff ==> land_d7ad37cc (PR)
1. All instances running land_6c41adff, generating some traffic on network
2. First full node land_6c41adff ==> land_d7ad37cc, to validate new full node to old validator node traffic
3. First Validator node land_6c41adff ==> land_d7ad37cc, to validate storage compatibility
4. First batch validators (14) land_6c41adff ==> land_d7ad37cc, to test consensus and traffic between old full nodes and new validator node
5. First batch full nodes (14) land_6c41adff ==> land_d7ad37cc
6. Second batch validators (15) land_6c41adff ==> land_d7ad37cc, to upgrade rest of the validators
7. Second batch of full nodes (15) land_6c41adff ==> land_d7ad37cc, to finish the network upgrade, time spent 658 secs
all up : 2146 TPS, 2095 ms latency, 4000 ms p99 latency, no expired txns, time spent 265 secs
Logs: http://kibana.ct-2-k8s-testnet.aws.hlw3truzy4ls.com/app/kibana#/discover?_g=(time:(from:'2021-12-01T07:16:39Z',to:'2021-12-01T07:39:28Z'))
Dashboard: http://grafana.ct-2-k8s-testnet.aws.hlw3truzy4ls.com/d/performance/performance?from=1638342999000&to=1638344368000
Validator 1 logs: http://kibana.ct-2-k8s-testnet.aws.hlw3truzy4ls.com/app/kibana#/discover?_g=(time:(from:'2021-12-01T07:16:39Z',to:'2021-12-01T07:39:28Z'))&_a=(columns:!(log),query:(language:kuery,query:'kubernetes.pod_name:""val-1""'),sort:!(!('@timestamp',desc)))
```

Repro cmd:

  ```
  ./scripts/cti --tag land_6c41adff --cluster-test-tag land_d7ad37cc -E BATCH_SIZE=15 -E UPDATE_TO_TAG=land_d7ad37cc --report report.json --suite land_blocking_compat
  ```
  
 :tada: Land-blocking cluster test passed! :ok_hand:",9901,2021-12-01T07:39:29Z,0
17,bors-libra,:broken_heart: Test Failed - [ci-test](https://github.com/diem/diem/actions/runs/1524545904),9901,2021-12-01T07:39:50Z,0
18,xli,/land,9901,2021-12-01T16:12:32Z,0
19,github-actions[bot],"Forge Test Result
```
Compatibility test results for land_6c41adff ==> land_3af749d4 (PR)
1. Downgrade all validators to older version: land_6c41adff
Logs: https://diem-development.kb.us-west1.gcp.cloud.es.io:9243/app/discover#/?_g=(filters:!(),refreshInterval:(pause:!t,value:0),time:(from:now-15m,to:now))&_a=(columns:!(),filters:!(),index:'2da2a6e0-f70a-11eb-ad53-b979a6c9b83a',interval:auto,query:(language:kuery,query:''),sort:!(!('@timestamp',desc)))
Dashboard: http://mon.forge-1.aws.hlw3truzy4ls.com/d/overview/overview?from=1638376513891&to=1638377020215&orgId=1
```

 :exclamation: Forge Test failed - non-zero exit code for `fgi` 

Repro cmd:

  ```
  ./scripts/fgi/run --tag land_3af749d4 --base-image-tag land_6c41adff --suite land_blocking_compat --report forge_report.json
  ```
  ",9901,2021-12-01T16:43:41Z,0
20,github-actions[bot],"Cluster Test Result
```
Test runner setup time spent 253 secs
Compatibility test results for land_6c41adff ==> land_3af749d4 (PR)
1. All instances running land_6c41adff, generating some traffic on network
2. First full node land_6c41adff ==> land_3af749d4, to validate new full node to old validator node traffic
3. First Validator node land_6c41adff ==> land_3af749d4, to validate storage compatibility
4. First batch validators (14) land_6c41adff ==> land_3af749d4, to test consensus and traffic between old full nodes and new validator node
5. First batch full nodes (14) land_6c41adff ==> land_3af749d4
6. Second batch validators (15) land_6c41adff ==> land_3af749d4, to upgrade rest of the validators
7. Second batch of full nodes (15) land_6c41adff ==> land_3af749d4, to finish the network upgrade, time spent 632 secs
all up : 2085 TPS, 2154 ms latency, 5000 ms p99 latency, no expired txns, time spent 263 secs
Logs: http://kibana.ct-2-k8s-testnet.aws.hlw3truzy4ls.com/app/kibana#/discover?_g=(time:(from:'2021-12-01T16:34:50Z',to:'2021-12-01T16:56:56Z'))
Dashboard: http://grafana.ct-2-k8s-testnet.aws.hlw3truzy4ls.com/d/performance/performance?from=1638376490000&to=1638377816000
Validator 1 logs: http://kibana.ct-2-k8s-testnet.aws.hlw3truzy4ls.com/app/kibana#/discover?_g=(time:(from:'2021-12-01T16:34:50Z',to:'2021-12-01T16:56:56Z'))&_a=(columns:!(log),query:(language:kuery,query:'kubernetes.pod_name:""val-1""'),sort:!(!('@timestamp',desc)))
```

Repro cmd:

  ```
  ./scripts/cti --tag land_6c41adff --cluster-test-tag land_3af749d4 -E BATCH_SIZE=15 -E UPDATE_TO_TAG=land_3af749d4 --report report.json --suite land_blocking_compat
  ```
  
 :tada: Land-blocking cluster test passed! :ok_hand:",9901,2021-12-01T16:56:57Z,0
21,bors-libra,:broken_heart: Test Failed - [ci-test](https://github.com/diem/diem/actions/runs/1526686911),9901,2021-12-01T16:57:18Z,0
22,zihaoccc,/land,9901,2021-12-01T16:58:55Z,0
23,github-actions[bot],"Forge Test Result
```
Compatibility test results for land_6c41adff ==> land_b040e529 (PR)
1. Downgrade all validators to older version: land_6c41adff
2. Upgrading first Validator to new version: land_b040e529
3. Upgrading rest of first batch to new version: land_b040e529
4. upgrading second batch to new version: land_b040e529
5. check swarm health
Compatibility test for land_6c41adff ==> land_b040e529 passed
all up : 1672 TPS, 2674 ms latency, 7550 ms p99 latency,no expired txns
Logs: https://diem-development.kb.us-west1.gcp.cloud.es.io:9243/app/discover#/?_g=(filters:!(),refreshInterval:(pause:!t,value:0),time:(from:now-15m,to:now))&_a=(columns:!(),filters:!(),index:'2da2a6e0-f70a-11eb-ad53-b979a6c9b83a',interval:auto,query:(language:kuery,query:''),sort:!(!('@timestamp',desc)))
Dashboard: http://mon.forge-1.aws.hlw3truzy4ls.com/d/overview/overview?from=1638379341938&to=1638380606725&orgId=1
```

Repro cmd:

  ```
  ./scripts/fgi/run --tag land_b040e529 --base-image-tag land_6c41adff --suite land_blocking_compat --report forge_report.json
  ```
  
 :tada: Land-blocking forge test passed! :ok_hand:",9901,2021-12-01T17:43:27Z,0
24,github-actions[bot],"Cluster Test Result
```
Test runner setup time spent 261 secs
Compatibility test results for land_6c41adff ==> land_b040e529 (PR)
1. All instances running land_6c41adff, generating some traffic on network
2. First full node land_6c41adff ==> land_b040e529, to validate new full node to old validator node traffic
3. First Validator node land_6c41adff ==> land_b040e529, to validate storage compatibility
4. First batch validators (14) land_6c41adff ==> land_b040e529, to test consensus and traffic between old full nodes and new validator node
5. First batch full nodes (14) land_6c41adff ==> land_b040e529
6. Second batch validators (15) land_6c41adff ==> land_b040e529, to upgrade rest of the validators
7. Second batch of full nodes (15) land_6c41adff ==> land_b040e529, to finish the network upgrade, time spent 654 secs
all up : 2117 TPS, 2124 ms latency, 4500 ms p99 latency, no expired txns, time spent 266 secs
Logs: http://kibana.ct-2-k8s-testnet.aws.hlw3truzy4ls.com/app/kibana#/discover?_g=(time:(from:'2021-12-01T17:21:56Z',to:'2021-12-01T17:44:35Z'))
Dashboard: http://grafana.ct-2-k8s-testnet.aws.hlw3truzy4ls.com/d/performance/performance?from=1638379316000&to=1638380675000
Validator 1 logs: http://kibana.ct-2-k8s-testnet.aws.hlw3truzy4ls.com/app/kibana#/discover?_g=(time:(from:'2021-12-01T17:21:56Z',to:'2021-12-01T17:44:35Z'))&_a=(columns:!(log),query:(language:kuery,query:'kubernetes.pod_name:""val-1""'),sort:!(!('@timestamp',desc)))
```

Repro cmd:

  ```
  ./scripts/cti --tag land_6c41adff --cluster-test-tag land_b040e529 -E BATCH_SIZE=15 -E UPDATE_TO_TAG=land_b040e529 --report report.json --suite land_blocking_compat
  ```
  
 :tada: Land-blocking cluster test passed! :ok_hand:",9901,2021-12-01T17:44:36Z,0
25,emmazzz,/land,9894,2021-11-30T22:25:28Z,0
26,github-actions[bot],"Forge Test Result
```
Compatibility test results for land_139acb2c ==> land_5f3bbcf5 (PR)
1. Downgrade all validators to older version: land_139acb2c
2. Upgrading first Validator to new version: land_5f3bbcf5
3. Upgrading rest of first batch to new version: land_5f3bbcf5
4. upgrading second batch to new version: land_5f3bbcf5
5. check swarm health
Compatibility test for land_139acb2c ==> land_5f3bbcf5 passed
all up : 1658 TPS, 2703 ms latency, 8050 ms p99 latency,no expired txns
Logs: https://diem-development.kb.us-west1.gcp.cloud.es.io:9243/app/discover#/?_g=(filters:!(),refreshInterval:(pause:!t,value:0),time:(from:now-15m,to:now))&_a=(columns:!(),filters:!(),index:'2da2a6e0-f70a-11eb-ad53-b979a6c9b83a',interval:auto,query:(language:kuery,query:''),sort:!(!('@timestamp',desc)))
Dashboard: http://mon.forge-1.aws.hlw3truzy4ls.com/d/overview/overview?from=1638314985960&to=1638316292470&orgId=1
```

Repro cmd:

  ```
  ./scripts/fgi/run --tag land_5f3bbcf5 --base-image-tag land_139acb2c --suite land_blocking_compat --report forge_report.json
  ```
  
 :tada: Land-blocking forge test passed! :ok_hand:",9894,2021-11-30T23:51:33Z,0
27,github-actions[bot],"Cluster Test Result
```
Test runner setup time spent 278 secs
Compatibility test results for land_139acb2c ==> land_5f3bbcf5 (PR)
1. All instances running land_139acb2c, generating some traffic on network
2. First full node land_139acb2c ==> land_5f3bbcf5, to validate new full node to old validator node traffic
3. First Validator node land_139acb2c ==> land_5f3bbcf5, to validate storage compatibility
4. First batch validators (14) land_139acb2c ==> land_5f3bbcf5, to test consensus and traffic between old full nodes and new validator node
5. First batch full nodes (14) land_139acb2c ==> land_5f3bbcf5
6. Second batch validators (15) land_139acb2c ==> land_5f3bbcf5, to upgrade rest of the validators
7. Second batch of full nodes (15) land_139acb2c ==> land_5f3bbcf5, to finish the network upgrade, time spent 681 secs
all up : 2131 TPS, 2110 ms latency, 4500 ms p99 latency, no expired txns, time spent 263 secs
Logs: http://kibana.ct-0-k8s-testnet.aws.hlw3truzy4ls.com/app/kibana#/discover?_g=(time:(from:'2021-11-30T23:29:02Z',to:'2021-11-30T23:52:18Z'))
Dashboard: http://grafana.ct-0-k8s-testnet.aws.hlw3truzy4ls.com/d/performance/performance?from=1638314942000&to=1638316338000
Validator 1 logs: http://kibana.ct-0-k8s-testnet.aws.hlw3truzy4ls.com/app/kibana#/discover?_g=(time:(from:'2021-11-30T23:29:02Z',to:'2021-11-30T23:52:18Z'))&_a=(columns:!(log),query:(language:kuery,query:'kubernetes.pod_name:""val-1""'),sort:!(!('@timestamp',desc)))
```

Repro cmd:

  ```
  ./scripts/cti --tag land_139acb2c --cluster-test-tag land_5f3bbcf5 -E BATCH_SIZE=15 -E UPDATE_TO_TAG=land_5f3bbcf5 --report report.json --suite land_blocking_compat
  ```
  
 :tada: Land-blocking cluster test passed! :ok_hand:",9894,2021-11-30T23:52:19Z,0
28,tzakian,/land,9904,2021-12-01T17:52:35Z,0
29,bors-libra,:broken_heart: Test Failed - [ci-test](https://github.com/diem/diem/actions/runs/1527243211),9904,2021-12-01T18:59:52Z,0
30,tzakian,"Looks like a provisioning failure. Retry

/land",9904,2021-12-01T19:01:13Z,0
31,github-actions[bot],"Forge Test Result
```
Compatibility test results for land_f1ff3c20 ==> land_06b0dcec (PR)
1. Downgrade all validators to older version: land_f1ff3c20
2. Upgrading first Validator to new version: land_06b0dcec
3. Upgrading rest of first batch to new version: land_06b0dcec
4. upgrading second batch to new version: land_06b0dcec
5. check swarm health
Compatibility test for land_f1ff3c20 ==> land_06b0dcec passed
all up : 1658 TPS, 2693 ms latency, 5050 ms p99 latency,no expired txns
Logs: https://diem-development.kb.us-west1.gcp.cloud.es.io:9243/app/discover#/?_g=(filters:!(),refreshInterval:(pause:!t,value:0),time:(from:now-15m,to:now))&_a=(columns:!(),filters:!(),index:'2da2a6e0-f70a-11eb-ad53-b979a6c9b83a',interval:auto,query:(language:kuery,query:''),sort:!(!('@timestamp',desc)))
Dashboard: http://mon.forge-0.aws.hlw3truzy4ls.com/d/overview/overview?from=1638386725353&to=1638388055187&orgId=1
```

Repro cmd:

  ```
  ./scripts/fgi/run --tag land_06b0dcec --base-image-tag land_f1ff3c20 --suite land_blocking_compat --report forge_report.json
  ```
  
 :tada: Land-blocking forge test passed! :ok_hand:",9904,2021-12-01T19:47:36Z,0
